city,all_weather,av_temp,no_precipitation,rating
Moscow,"[{'date': '2022-05-26', 'weather': {'average_temp': 17, 'no_precipitation': 7}}, {'date': '2022-05-27', 'weather': {'average_temp': 13, 'no_precipitation': 0}}, {'date': '2022-05-28', 'weather': {'average_temp': 12, 'no_precipitation': 0}}]",14,7,49
Étréchy,"[{'date': '2022-05-26', 'weather': {'average_temp': 17, 'no_precipitation': 9}}, {'date': '2022-05-27', 'weather': {'average_temp': 17, 'no_precipitation': 11}}, {'date': '2022-05-28', 'weather': {'average_temp': 17, 'no_precipitation': 11}}]",17,31,82
London,"[{'date': '2022-05-26', 'weather': {'average_temp': 17, 'no_precipitation': 11}}, {'date': '2022-05-27', 'weather': {'average_temp': 16, 'no_precipitation': 11}}, {'date': '2022-05-28', 'weather': {'average_temp': 14, 'no_precipitation': 11}}]",15,33,80
Teltow-Fläming,"[{'date': '2022-05-26', 'weather': {'average_temp': 19, 'no_precipitation': 9}}, {'date': '2022-05-27', 'weather': {'average_temp': 16, 'no_precipitation': 6}}, {'date': '2022-05-28', 'weather': {'average_temp': 13, 'no_precipitation': 0}}]",16,15,63
Baoding District,"[{'date': '2022-05-26', 'weather': {'average_temp': 31, 'no_precipitation': 11}}, {'date': '2022-05-27', 'weather': {'average_temp': 32, 'no_precipitation': 11}}, {'date': '2022-05-28', 'weather': {'average_temp': 33, 'no_precipitation': 11}}]",32,33,129
City of Kazan,"[{'date': '2022-05-26', 'weather': {'average_temp': 12, 'no_precipitation': 6}}, {'date': '2022-05-27', 'weather': {'average_temp': 13, 'no_precipitation': 0}}, {'date': '2022-05-28', 'weather': {'average_temp': 14, 'no_precipitation': 3}}]",13,9,48
Saint Petersburg,"[{'date': '2022-05-26', 'weather': {'average_temp': 12, 'no_precipitation': 3}}, {'date': '2022-05-27', 'weather': {'average_temp': 11, 'no_precipitation': 0}}, {'date': '2022-05-28', 'weather': {'average_temp': 11, 'no_precipitation': 0}}]",11,3,37
Volgograd,"[{'date': '2022-05-26', 'weather': {'average_temp': 22, 'no_precipitation': 11}}, {'date': '2022-05-27', 'weather': {'average_temp': 21, 'no_precipitation': 11}}, {'date': '2022-05-28', 'weather': {'average_temp': 25, 'no_precipitation': 11}}]",22,33,101
Novosibirsk,"[{'date': '2022-05-26', 'weather': {'average_temp': 24, 'no_precipitation': 11}}, {'date': '2022-05-27', 'weather': {'average_temp': 22, 'no_precipitation': 11}}, {'date': '2022-05-28', 'weather': {'average_temp': 23, 'no_precipitation': 11}}]",23,33,102
Kaliningrad,"[{'date': '2022-05-26', 'weather': {'average_temp': 15, 'no_precipitation': 9}}, {'date': '2022-05-27', 'weather': {'average_temp': 12, 'no_precipitation': 2}}, {'date': '2022-05-28', 'weather': {'average_temp': 11, 'no_precipitation': 1}}]",12,12,50
Abu Dhabi,"[{'date': '2022-05-26', 'weather': {'average_temp': 34, 'no_precipitation': 11}}, {'date': '2022-05-27', 'weather': {'average_temp': 34, 'no_precipitation': 11}}, {'date': '2022-05-28', 'weather': {'average_temp': 33, 'no_precipitation': 11}}]",33,33,134
Powiat Warszawa,"[{'date': '2022-05-26', 'weather': {'average_temp': 19, 'no_precipitation': 11}}, {'date': '2022-05-27', 'weather': {'average_temp': 14, 'no_precipitation': 3}}, {'date': '2022-05-28', 'weather': {'average_temp': 12, 'no_precipitation': 0}}]",15,14,59
Bucharest,"[{'date': '2022-05-26', 'weather': {'average_temp': 27, 'no_precipitation': 11}}, {'date': '2022-05-27', 'weather': {'average_temp': 26, 'no_precipitation': 11}}, {'date': '2022-05-28', 'weather': {'average_temp': 27, 'no_precipitation': 11}}]",26,33,113
Rome,"[{'date': '2022-05-26', 'weather': {'average_temp': 29, 'no_precipitation': 11}}, {'date': '2022-05-27', 'weather': {'average_temp': 29, 'no_precipitation': 11}}, {'date': '2022-05-28', 'weather': {'average_temp': 25, 'no_precipitation': 11}}]",27,33,116
Cairo,"[{'date': '2022-05-26', 'weather': {'average_temp': 32, 'no_precipitation': 11}}, {'date': '2022-05-27', 'weather': {'average_temp': 33, 'no_precipitation': 11}}, {'date': '2022-05-28', 'weather': {'average_temp': 34, 'no_precipitation': 11}}]",33,33,132
